score,s0,s1,seed,spawn,marsh_n,marsh_d,paper4_n,paper_d,head_d,head,coal_n,coal_d,clay_d,gravel_d
814.4105600044619,419.0,395.4105600044619,-9087492333609874482,"-4,-155",18,113,1,117,166,Stone Axe Head,0,,94,5
817.1388056848293,447.0,370.13880568482926,6447942189294602971,"-50,149",13,123,1,160,87,Bone Axe Head,37,116,26,7
817.2116999361427,218.0,599.2116999361427,-5355076076891543691,"182,-167",0,,1,57,30,Bone Axe Head,0,,66,2
826.1653076231532,438.0,388.1653076231533,948443901674266276,"-17,52",3,124,1,137,127,Flint Axe Head,12,169,81,8
826.9290719347924,469.0,357.92907193479243,-224979330495538220,"-44,-94",31,122,4,144,92,Flint Axe Head,8,238,29,7
827.5875627631494,248.0,579.5875627631494,331488291868112842,"195,53",0,,1,39,29,Bone Axe Head,17,48,55,6
828.1233505438868,233.0,595.1233505438868,8209994272622119359,"23,-23",0,,1,32,51,Stone Axe Head,0,,65,1
835.8502651375721,505.0,330.85026513757214,-6303910478071389829,"271,190",30,104,6,125,101,Electrum Axe Head,8,190,36,9
844.7338175623879,239.0,605.7338175623879,-9076107820172883703,"-189,-14",0,,1,41,53,Stone Axe Head,0,,57,8
851.4630922750869,352.0,499.4630922750869,878812217348569370,"107,293",29,189,2,96,214,Flint Axe Head,0,,130,4
853.8612519466222,216.0,637.8612519466222,-3866760402242128964,"13,63",0,,1,62,64,Bone Shovel Head,0,,206,9
860.0807022384114,489.0,371.0807022384114,-1867839594580153259,"52,-11",8,145,1,113,113,Stone Axe Head,24,162,144,5
861.9776189512716,466.0,395.9776189512716,-3256177365945261054,"105,137",26,205,1,106,84,Flint Axe Head,11,53,162,1
862.6570732329503,505.0,357.65707323295027,8735271597903288119,"217,-7",35,111,1,149,98,Stone Shovel Head,0,,166,1
868.9464580787981,220.0,648.9464580787981,-5508387281010597512,"-89,52",63,79,0,,58,Flint Shovel Head,0,,71,4
877.6311499358612,491.0,386.6311499358612,3460382703436536483,"6,17",71,153,3,141,92,Stone Shovel Head,0,,89,7
882.8563388595496,467.0,415.8563388595496,-4660936756043638873,"0,0",13,167,1,127,122,Bone Shovel Head,0,,25,11
884.9003842557422,286.0,598.9003842557422,2264966528586066068,"88,53",0,,1,63,24,Stone Axe Head,0,,166,3
887.1207533683294,538.0,349.1207533683294,-7178171084660701860,"-103,-29",2,94,1,113,141,Bone Axe Head,25,135,90,5
888.0576065917165,236.0,652.0576065917165,2424441315326906444,"10,-3",0,,1,95,45,Flint Axe Head,25,109,25,5
893.8502895245967,520.0,373.8502895245968,-4625645620954937442,"-14,48",24,123,1,115,136,Bone Axe Head,0,,39,10
898.1432686258199,628.0,270.14326862581987,-7921999940387132376,"177,125",30,89,2,129,52,Flint Axe Head,13,104,37,9
898.8027640042858,233.0,665.8027640042858,4093156632612084833,"249,78",0,,2,107,47,Flint Axe Head,13,101,75,6
904.746115147884,516.0,388.746115147884,-4440490177599544876,"294,159",32,83,4,158,147,Bone Shovel Head,20,222,65,7
907.0131556174965,357.0,550.0131556174965,2474828906448763432,"-114,121",0,,1,9,29,Stone Shovel Head,0,,90,6
907.2053114304795,276.0,631.2053114304795,-4836486331909144119,"20,42",0,,1,76,43,Stone Shovel Head,0,,112,4
