rank_in_stream,seed,score,uncapped,roguelike_chests,village_chests
2934,8983790565429340414,272986,277886,690,15
2935,-6145748740416598996,176374,180174,464,41
2936,-656583187351830989,216792,220492,589,16
2937,-5613866204095864015,176064,178364,521,30
2938,8349953033204666952,193488,196188,422,27
2939,-7749638179681411875,118771,120271,367,27
2940,2184634153581969736,218298,221598,459,22
2941,-2252863227014436916,141610,144110,379,34
2942,4438622336583720113,298667,303567,792,27
2943,-1626468912858295158,210735,216835,558,44
2944,-1984634945375978060,141736,143236,320,26
2945,-596552902818926391,336761,341061,694,31
2946,2811001509950570806,176535,182335,535,27
2947,-5775351582889383881,330631,336731,836,47
2948,-5165293286973460221,144605,146805,349,34
2949,487801969257791455,174904,177404,313,32
2950,3598802603766022743,234130,236830,466,49
2951,451266404341260920,303723,307323,626,35
2952,6243410281674315758,184789,186989,554,35
2953,-6317620545680683119,194026,195226,421,49
2954,8349249872559733299,271278,276378,663,30
2955,-4498482377614356269,253826,258226,605,31
2956,-48733780198077320,201360,202960,492,3
2957,2941476661785332004,195452,198652,481,14
2958,-1252456637400027379,189747,191847,371,50
2959,-4360443758206786445,326379,331179,753,20
2960,-831700606676274781,221376,224276,433,32
2961,-5103184076114174573,344432,349032,776,13
2962,5224819134837521892,214617,217817,504,34
2963,-2416825393879765814,209528,231628,420,16
2964,-6005047561531098700,275594,280294,628,41
2965,8907793865667916131,177793,180093,471,34
2966,6916589265579866724,252420,255620,593,53
2967,-8327042285726899569,276570,291770,659,31
2968,-4777065697077670876,258857,261457,518,48
2969,7175282504910493935,306518,330518,710,39
2970,-4824452373006595486,249628,253428,691,7
2971,6208397893213225629,225821,238421,522,47
2972,2581165177954629029,312454,317854,787,48
2973,-8659251445745554197,212444,215944,478,18
2974,3936084129906488789,166338,168438,391,32
2975,1411563740342657915,226741,230041,597,24
2976,2365489696226685378,122807,127207,420,37
2977,5424781332815927159,183553,186253,482,44
2978,-7051482097807466046,159262,161162,384,44
2979,-6544976550861617300,207238,209738,473,22
2980,7418951477151907502,319105,324305,700,48
2981,4788284624500808659,213764,216664,463,47
2982,-2280887547775605954,229228,231228,515,16
2983,-1227953720192248525,256776,279176,469,41
2984,9029500509976401092,252286,256086,593,24
2985,3877607507703720566,259166,262866,625,31
2986,-4969052644077361234,285386,298386,569,23
2987,-681182737308584704,164957,167157,381,24
2988,-2524733308219301418,169296,174696,513,15
2989,-4008418627658203122,169048,172248,510,65
2990,291477941714672046,257518,261118,642,43
2991,-547626689611682433,232373,235773,575,40
2992,-2790278339997480469,241385,244585,589,45
2993,-2675958356129963280,230999,235599,531,10
2994,5860008273720427698,172463,178163,624,33
2995,6844016957284890370,189948,191548,398,34
2996,8880753389715893804,236115,239215,525,50
2997,-50293403903010753,195322,198322,448,28
2998,-1555981820308282890,248995,263895,548,43
2999,6893593330501560610,312332,317032,729,35
3000,-3212149281457139076,206342,210442,506,39
3001,6466033570510756933,195917,198417,494,51
3002,1905835786670572539,184180,187380,487,29
3003,8837413104497241829,332096,336896,769,31
3004,-2843504759763409072,219622,222422,500,45
3005,-469191246069749424,242495,245395,537,38
3006,-609574064891274203,251160,254660,704,31
3007,-5133299738594439182,232545,236745,694,34
3008,4065668767319715348,388490,424090,917,20
3009,-8879855678621102328,209984,213584,491,67
3010,8387043129093277003,274423,288623,613,54
3011,-5110469191654056465,251530,255530,589,45
3012,4388341078623367441,156267,158767,422,37
3013,8688049655481079526,199681,204381,463,36
3014,1348476220191507418,245701,248801,599,28
3015,-4841266462194487347,240564,243964,530,17
3016,-3146333918824910663,238534,252734,647,0
3017,8821415511653989312,163342,165842,447,33
3018,5985826423839807198,254921,259621,608,67
3019,-8906661999064262097,255686,270286,622,22
3020,-1627952529636786077,291907,295807,678,23
3021,593830517639465041,261221,265021,600,20
3022,2516710535929865829,267448,271748,601,22
3023,6806955309627228796,207799,208799,470,20
3024,4058657413139464158,112782,114082,268,20
3025,8461558643943405960,288133,293033,670,7
3026,2429599612035446864,156314,161114,518,34
3027,-4780066208063959752,328049,335249,799,34
3028,6272081760254924542,234802,237902,643,18
3029,-8687587779505796325,203255,205455,504,43
3030,-3023249603356445911,192939,196939,531,22
3031,8132090463909078024,249981,264681,576,37
3032,975256062084002953,273702,279302,642,21
3033,-6139575668761271715,193716,196516,477,7
3034,2202378763665165488,187757,190057,449,30
3035,8270606780801650036,257354,261454,590,11
3036,4192137288900767184,346890,353190,755,29
3037,-5766576597959283082,274903,279803,615,44
3038,-4616748370085539063,164703,168403,423,53
3039,9096350603033190939,185594,217794,458,14
3040,2751508902300231407,273769,287969,589,21
3041,-3970131222338781698,170614,172514,375,30
3042,-5285195546178557878,263102,267902,718,50
3043,8900714286384223002,109372,113372,510,13
3044,5549475206069623022,235836,239636,668,33
3045,8745800218383550239,180341,184141,427,18
3046,2779342782011097729,258968,264468,597,70
3047,-5240521110181789671,290681,293881,555,20
3048,-8179152124819722569,179417,182517,494,45
3049,5470283257102004610,203259,206359,403,11
3050,2010961114202382768,206184,208884,498,23
3051,5180182070780762002,247214,251614,529,46
3052,8676536568943618996,153630,155830,401,38
3053,-199893827354934503,173098,177498,383,36
3054,-3563561338557584375,187362,189762,430,36
3055,3304197330054295373,228014,231914,554,11
3056,6061074732548164919,199255,202355,505,40
3057,-971219082088249235,189162,192262,466,53
3058,4254698928647471719,244626,249526,610,38
3059,-4411748366858225881,335886,340386,808,53
3060,-5857436690624829207,213135,215735,515,78
3061,-3122764730380382219,220797,224797,468,26
3062,-3631986061836937247,179832,181632,422,29
3063,8282443617190208668,194117,197317,552,27
3064,4661694818159966347,306718,315318,671,44
3065,553752828661969312,272656,277756,704,20
3066,-5961840366626966110,194014,196514,435,25
3067,-4539639452114371265,302355,306855,631,67
3068,2718287770224555021,230900,234100,509,26
3069,-2137644969709177522,235346,258646,595,26
3070,7485238222076161604,222073,225873,475,23
3071,-8104033876528158681,103972,104572,301,12
3072,5673832714439030667,151541,153241,432,21
3073,1788513890624629291,191139,194439,441,32
3074,2135768878154762939,230436,234836,565,24
3075,-1580535599473635212,215301,227701,478,61
3076,-3450243853591652627,193556,196156,455,36
3077,-3599947904674495748,219083,222083,479,43
3078,-5624016216658718707,229223,242223,534,43
3079,4568464878070713565,301055,306355,691,41
3080,1803662872295454030,118122,119822,292,28
3081,-4245943560430177999,240877,245177,575,36
3082,-8646242121297304296,264770,277570,572,31
3083,-4331643345793467615,223499,228199,757,32
3084,-5855100764487304560,283463,288563,654,45
3085,300046010646728230,159109,161209,454,28
3086,8978615062919977241,140595,142995,389,30
3087,8936940622881418095,194766,197566,481,49
3088,-4503024250825007564,253811,258211,583,25
3089,6900313741600362841,211140,216340,510,16
3090,4398236120836918185,172331,175831,490,31
3091,7698184373025715943,322362,326862,751,32
3092,-3559672506464497978,265740,270140,684,30
3093,-8788705353818905302,242363,265863,586,48
3094,-4734083109285945910,160150,161850,401,37
3095,-3362383272285963397,241593,247093,635,38
3096,-3569480297954617689,174515,178115,465,8
3097,222971080693750519,191581,194981,524,36
3098,-9088093347616579074,236051,241151,658,22
3099,-7874505408994281212,178483,182083,619,11
3100,3697773143867567618,195917,199117,452,17
3101,-7555302392563494431,118681,120081,295,16
3102,-5775156379237618726,248197,252397,500,34
3103,-8477830728465248229,243083,248783,629,47
3104,7242038778810320935,266288,270088,619,45
3105,9174834153459794115,133803,135903,442,15
3106,9120910941697746215,203891,207691,508,41
3107,7191974617247433782,198684,200584,438,33
3108,-2538625668600812375,244469,247969,596,50
3109,4743240248526528412,288751,291851,709,45
3110,4184759276899998169,158698,159798,349,52
3111,8374087179128194656,235547,240147,571,22
3112,7977167082102395026,224289,227289,559,42
3113,245000716761618352,178938,180538,446,49
3114,870876093932159298,180611,183111,410,24
3115,2906879938496020688,282260,286260,574,42
3116,136321497945572039,197791,201791,474,60
3117,-2948748297015577704,189648,192848,431,55
3118,-5170245360713439731,255463,262263,633,46
3119,6068874041774978575,190414,193814,468,60
3120,-5250991715513513399,193512,197312,476,38
3121,6991798759601725484,228498,231298,652,22
3122,5942708450207837313,299346,303046,698,37
3123,-2902998764218704860,320340,324840,791,26
3124,1027858691441743285,258006,261106,509,43
3125,9141054139029548368,296474,320074,607,27
3126,4392045871569419242,174869,177669,414,37
3127,-1061453953079168387,318890,323790,696,31
3128,5042916726015450531,203989,217789,487,23
3129,-5532045783591682396,164555,166155,502,41
3130,4084146612334079070,353652,360152,732,29
3131,-7578856835481676007,273656,277956,610,57
3132,-2351171250663197991,194657,197357,444,35
3133,-7868792371000557752,333670,340070,804,33
3134,-3001131758729170154,291504,327804,643,57
3135,-2958304433112426648,222519,225819,468,68
3136,8023726459624525218,270898,276098,662,36
3137,-4785910338728274825,359281,366381,783,44
3138,-6862020093213388651,201657,205057,436,26
3139,-4044992353756691983,270107,275407,567,65
