rank_in_stream,seed,score,uncapped,roguelike_chests,village_chests
0,-7269948338495788698,237170,240570,641,33
1,-1297854885530077460,282075,287175,671,34
2,-8952052010658893278,167038,170338,481,51
3,-8607522308064511141,292147,297547,701,29
4,-6244135143557849758,179854,182454,411,46
5,-9107171013753322724,159014,162514,400,40
6,-1497857703099570772,203578,206178,510,44
7,-8168323205341578169,280345,284545,663,48
8,-6270331762397506834,203341,207341,480,35
9,5640528374229792510,205592,209992,528,26
10,9010894773932737588,260717,264317,528,99
11,754300914653007805,246357,249857,532,34
12,1261249498889444331,242774,247174,645,30
13,-4311632008425961176,302773,325973,662,31
14,1787392483651679624,256652,261152,676,47
15,-495428158958937458,131888,133188,363,23
16,-5820542125100895415,181355,184655,432,27
17,-914688528032605673,372808,379908,769,69
18,8092628878559311603,259112,264512,658,17
19,-5407451111107001215,298936,302936,651,35
20,8456817873093103234,205287,208187,503,14
21,4455632528278503565,274679,280279,656,24
22,-597980941263995677,224145,227945,574,56
23,6804657220102240981,221828,235128,522,57
24,5159601364152385871,203149,205049,439,37
25,8196260700682203748,203496,206496,464,25
26,7613136794550514930,262827,265927,566,33
27,-3176475612376243145,291756,295856,804,38
28,1504291569863501922,268248,272448,690,49
29,8883663155339257787,225654,238154,418,24
30,7117132976299143060,145284,146884,363,33
31,-2322095815670481316,211881,214381,512,23
32,3306128649649680565,195450,197650,441,46
33,8373619616442976960,219561,223061,531,11
34,-6154538817930243779,141646,143446,320,49
35,5601653643474540034,205136,208636,495,34
36,5350238216294834844,177489,180789,473,40
37,6405758488660130830,267955,272455,591,82
38,5259604390155278211,278036,282736,664,30
39,-3496510879150283121,349958,357558,793,30
40,7444558455070544544,254444,257644,554,12
41,7663188517877758211,217987,221187,497,36
42,2333585222180129931,232649,236049,564,20
43,5850767037279563413,219929,223229,542,58
44,-1797990193677610238,187710,190510,383,23
45,-3602937312285331951,234622,238922,590,31
46,3663420069957137088,242016,246416,635,51
47,-644490098508578870,340667,349267,843,38
48,-2546394943965234052,292544,317644,620,10
49,-74324147406730800,243166,245866,669,24
50,8030454184186469161,262102,268102,651,35
51,-6701391002807803687,173366,176966,456,36
52,-5906397841852343037,194537,197237,461,65
53,-4011577008245302542,303358,330458,725,24
54,-7448908059998482089,180282,181682,378,43
55,-6292213143640744246,271425,275625,695,57
56,788014305712227817,204855,207955,468,21
57,8714553887829585232,253334,256234,517,40
58,5212781571973842902,218214,220714,437,34
59,680539380339649850,232010,236710,556,35
60,4214085290240202253,286140,290840,653,46
61,732230160924941311,229671,243271,488,19
62,-5287293862430284723,252447,257547,567,22
63,5823218153178521498,307987,313287,679,25
64,1737259525841610519,129491,131791,446,28
65,5858590157572911211,187593,189693,472,52
66,3951769169156140164,231121,236021,598,36
67,3314854442072479693,233421,237021,661,21
68,6448274471135530858,341468,348968,841,18
69,5878993889623039718,199721,201121,386,21
70,-7686485693264266319,123893,125293,385,27
71,3804623792610097511,223304,227604,515,24
72,-1972647520068515518,156831,160231,465,29
73,5412473539828096254,231476,234576,487,26
74,-8960299649260243161,174630,176430,416,19
75,-2022754044532931355,302012,315412,644,18
76,-7153859833546089334,148354,150254,353,21
77,6240799579810630379,243893,247693,642,11
78,-4153068366576178603,243999,246699,558,33
79,655064134189255629,300429,305829,649,36
80,-7064285392796666182,256058,260358,562,43
81,-474638338742046264,269672,272872,564,27
82,285177397708394246,262665,316065,572,25
83,8297201904528156298,109376,111176,437,16
84,2688972955963926994,269297,276297,748,48
85,-3217731124618795592,163195,165095,370,35
86,495433077778118046,322718,327818,673,16
87,-8373525884409599037,238450,242050,512,24
88,-4088467415918199481,187893,210793,446,46
89,6148788026504017399,269607,273207,632,50
90,261155990197320239,202207,205107,520,5
91,5620706467660691899,138848,140648,305,34
92,-8524451810853066663,226351,230151,569,75
93,-3949290805694769950,253263,256563,623,36
94,-7862515935299450322,329624,335224,747,34
95,6064432735849280340,286748,290548,712,58
96,-6163690810841001478,233079,236279,462,37
97,1940420392431506719,203428,207928,426,34
98,-3392267406352736498,142559,143759,457,28
99,-7294175169196124925,174107,185407,381,31
100,-6001888998722035261,389009,423909,804,66
101,5582612400605574182,225215,238115,554,31
102,689344253720297598,251692,254992,545,45
103,7745852455080121625,269663,273863,567,50
104,5500753681344949088,210876,222276,452,66
105,4285530576563446348,224958,228058,460,13
106,-5340200000148485986,318477,324377,681,29
107,-1300106650177289136,248170,251770,521,39
108,6048431522048881558,247449,253749,588,45
109,7658544736247922340,262469,265269,604,29
110,3195692259833349294,304489,318889,646,10
111,256369372454805884,307172,311972,678,33
112,-1509389850005109348,245114,249314,587,39
113,-325307767382249088,184112,187612,474,46
114,7786582259307954826,144684,147184,431,36
115,3699161998134186788,228584,230284,461,33
116,-7149309133898418017,220517,222617,529,36
117,-3624873911473993630,287406,294406,623,33
118,-6431750182088421440,195663,207763,420,51
119,-5541735730898168002,131386,132986,403,30
120,-8860234317645515314,196612,220012,405,18
121,-8543091754907664306,226481,229981,585,59
122,8002651900864404071,287200,293000,729,25
123,-4419269862279042744,163953,166453,369,50
124,3942818169849001194,259379,262579,716,8
125,6412896627487852412,335646,339146,727,37
126,-6339301469504249055,301722,307222,641,39
127,-4809290705918278173,295206,300406,714,9
128,6674333379024655786,207479,212179,489,25
129,1323168966991257467,227654,230154,501,18
130,-2416327044745720365,296753,303653,649,46
131,-7520678860554111465,161984,163384,388,37
132,6752152435220503205,133695,135495,453,21
133,-7705520911619183178,98232,102032,303,39
134,-6592504071702890834,212097,214697,447,16
135,-5520360001203992922,228430,232930,616,27
136,6686637332686593057,180604,184004,438,36
137,-3863441263289898761,197071,200171,462,43
138,-7709266056241297161,172558,174258,477,10
139,-3859335779709032137,202145,205345,551,40
140,1038081509803397483,257333,260633,550,26
141,8895137686714375090,221414,224914,469,22
142,2649194352519170987,160942,163242,349,42
143,2580538297611502239,203802,206202,445,6
144,1810772002009867884,188187,191287,447,39
145,-3075926331461636223,201822,203622,479,36
146,-8338074314017196330,192369,194369,470,28
147,-6244982014669452573,162761,165461,459,38
148,-8341263649988075134,238017,241317,624,19
149,-6493315996495903156,154781,158981,494,45
150,-5266907925927335185,152682,154882,330,34
151,7801891653700453153,231477,235277,500,77
152,3930072483011035653,255123,258923,670,70
153,-571316366110861875,270402,275702,658,24
154,8209841099198493566,158893,161893,409,33
155,-6729028238316190940,201191,204391,461,12
156,8610296679873199560,234230,239330,690,44
157,3479622610382875222,186312,189512,425,21
158,2898688911236100507,306870,312570,712,42
159,-5977725217163139622,263885,268785,555,45
160,7517371785474774195,190359,192859,426,9
161,-6450397982706471624,297219,302519,681,21
162,-4122886743425098427,263452,277252,582,39
163,-7079616507214998973,216435,220335,557,30
164,-8733677300148219125,196219,198519,426,43
165,-2788566337576089895,225525,230425,570,24
166,-1567459991116629460,183156,186056,444,27
167,464042961168090828,287585,303985,626,38
168,8731265722851397586,314395,319495,725,50
169,-574600071698042187,211955,214755,443,18
170,-4626772470859445924,260901,265401,676,42
171,7046446963382256806,208193,210593,448,26
172,-7660750360110907226,238652,241452,493,67
173,-2475510801116841449,258207,260607,551,28
174,-1365684047854136276,207910,212810,515,32
175,958750493312619688,205243,209243,490,51
176,-5368394790663658321,154249,155949,339,36
177,5871140676522204635,267666,272166,604,28
178,-7943157672280497240,256710,262110,596,62
179,-1906926954913869871,169782,171982,438,19
180,6228997515574739202,175861,177561,506,39
181,2501925362106911169,243347,246047,561,36
182,556260957638945779,223650,226850,503,45
183,-1079358153481742449,204779,207679,499,24
184,-9013771088102795570,252248,256348,599,30
185,3598404248420083538,212419,215419,546,33
186,6071950236300684760,269812,274112,639,29
187,1131952453945195535,226770,230770,499,47
188,7994262852961565817,245076,250876,689,6
189,1891316048315218460,182273,184573,549,40
190,-2844180957345148180,172269,174869,443,23
191,-8980941948616090467,176206,178706,419,61
192,8082308188670403714,317551,321651,670,24
193,-2181465520011593465,258889,270989,568,40
194,-9165960130239709207,290123,294323,625,30
195,-660796222014212773,253928,259028,631,26
196,1851166702047633895,168887,169887,335,37
197,6036795814294750186,184781,187281,422,37
198,-37951548283699683,206640,220740,586,35
199,-1094730214538171905,166909,171009,520,42
200,8125375455299197936,169480,171880,401,48
201,-30082442579790411,186027,189427,452,47
202,4643917502000067859,185985,188585,480,25
203,-4698228901916997004,183961,185961,516,32
204,-3777940295200368476,226059,229359,506,24
205,7004483517878153613,214279,216379,477,65
206,-3875020655423380880,195230,196430,422,29
207,-7668120945458828336,163052,164452,379,18
208,-182629780356254804,196321,199521,531,39
209,-3939194529848753707,349841,355141,826,24
210,8897649203603212327,227803,230603,478,23
211,-6437875976606841588,267637,271837,634,58
212,-2131670039804977373,248011,269311,601,15
213,-5509591735660387661,264899,268299,594,63
214,9063316080223141184,180171,183371,503,23
215,9009655222045066160,209674,213574,521,11
216,-1116624548939610718,213188,216588,479,35
217,6888746736632846136,314886,320586,671,28
218,6571649966301764923,181219,192919,350,38
219,-4480755484152077137,185776,188076,453,97
220,1207688043114843546,191202,195002,545,40
221,-6251209974452910898,268661,273961,651,16
222,8363952582389519752,317294,322894,698,40
223,-3655742317065204664,208667,215767,611,30
224,-165786413344869808,249780,256880,783,33
225,6464943259654698286,127037,129437,336,58
226,4249175668006870476,192300,194300,492,35
227,3047455613863135584,202906,206106,485,35
228,1821647922715242261,82610,83510,225,38
229,-4466885385027645717,290767,295167,623,41
230,-597651819135377310,193110,195810,430,31
231,9014955239981834473,246562,249362,531,33
232,2102578351822055290,266922,273422,727,44
233,-4336183734958056413,234788,236488,510,27
234,-2101169712940199759,248844,253444,600,38
235,7629380388868947114,210550,214050,463,20
236,5720754306202350177,274468,278668,647,31
237,-5557463082472935273,254424,259124,620,29
238,7558491013019287054,308103,314903,710,18
239,-3567522033721949625,233108,237408,582,26
240,-781591991533862317,248028,262328,608,32
241,9120157967860240182,293989,298789,630,63
242,-6715348607117435763,208921,210821,545,49
243,-8803676976114226316,204554,207154,492,34
244,6264282864854071239,278510,282310,549,10
245,4122878962352118912,265193,270493,564,38
246,9007207778632666569,173117,175217,405,22
247,4194271204394651594,258467,262967,624,53
248,-2841038891619916497,114639,115339,289,23
249,3908783501388247331,214834,218534,611,26
250,1926614274123195339,227751,230451,547,21
251,1174918713984931276,193524,206424,463,29
252,-4066803288923760737,132824,134424,340,9
253,-8720488242518222849,223017,225317,623,7
254,-4225079668911300224,250219,254419,576,33
255,3092935194054882310,166583,168983,507,37
256,-6460017863623487653,199607,203407,495,36
257,914487702035615181,258521,262621,585,45
258,-547290234184403109,176801,180201,415,22
259,-3020909563634256473,355309,361209,881,53
260,-7375784548623274647,238608,241908,543,52
261,-1824953287039567726,209435,212335,664,22
262,-8297079294739762191,180311,183011,462,51
263,7535291874385478307,219063,222363,524,65
264,-1970481795852293649,147615,149615,420,22
265,-8728347801884774756,251185,256385,696,30
266,7783577982060087466,217338,220638,514,15
267,-7479800917168059446,297522,302322,670,25
268,-4596554924521179730,198790,201290,449,22
269,-5791315254590791918,204432,208532,518,52
270,-7947893222989729032,285750,291150,696,38
271,-6395847347509512060,212497,225797,544,41
272,-6620385191162503789,249871,253771,561,28
273,-4544428699262653975,291315,296115,668,26
274,1282032645626128334,157887,160787,441,25
275,3915377868455941284,160801,162501,343,21
276,-3124071781666211405,186185,188585,546,11
277,-640674810192077229,225560,228460,585,27
278,-5776021433746333398,320350,334350,673,47
279,7179924076330574973,146974,149474,457,30
280,1796769411010687957,166197,167197,419,20
281,8856408271881350906,288745,303345,772,33
282,8714345786146225622,212595,215395,411,23
283,-7682268495317154338,244572,258072,532,65
284,-2649594633781201959,239846,244446,631,21
285,-1671679601082913739,209857,212257,448,22
286,-6241510188456511856,161207,164907,508,16
287,4491487889729444277,209278,213878,544,54
288,2171571780127430264,146140,148240,353,30
289,-7613281370548451997,232648,235548,651,16
290,-1844685853791117599,332656,338056,737,26
291,-5055047286087555829,316105,331205,683,22
292,4255397482170201309,190860,193660,472,30
293,7635729199307266454,188748,190848,418,27
294,-5452619293147168908,214842,217442,536,30
295,-7632379754393708747,254932,260632,644,43
296,8275520758355695777,240720,244520,555,19
297,2845558462154822429,196100,199300,469,34
298,-3297321946577177321,209794,212394,516,7
299,-651040497863243249,275871,279371,591,43
300,5101345016979582844,168006,170506,446,52
301,-2265967761693613119,206086,208286,481,19
302,-8428990839840458990,278859,284059,742,56
303,-3932039353176693107,323786,335686,713,32
304,-7195424472397199589,174281,186181,408,44
305,-4369519833891104257,170731,173331,426,19
306,-5725858648744583325,239564,241964,631,32
307,6981400250922397986,197135,200535,576,6
308,973395506425797522,218106,242906,600,49
309,-4226679087023230115,193788,195688,391,30
310,-2755132778094684164,227939,232139,579,35
311,278834493044865437,168945,181245,341,17
312,-5143682260380533486,223946,226746,528,12
313,6561380866715350948,247075,251675,538,26
314,1493846006997135344,236792,239792,565,38
315,646785208576434330,246025,249425,509,35
316,6634983952853911399,156161,159361,424,36
317,-7220576008406642078,196967,199767,443,38
318,-5315270912964269875,145814,147014,378,29
319,-4216810357273452931,202163,205763,464,30
320,1375472318939500259,230539,234939,557,44
321,3490292644833175940,252626,256326,537,23
322,5900702093809457839,235996,238996,582,53
323,2851623587952276918,211140,214840,489,30
324,-6651897925981577454,161335,163535,416,42
325,3353918695567719548,299142,322842,659,38
326,-7131725788847836385,249958,253158,582,32
327,-7015935514871596205,226709,229809,607,30
328,1737837044162757245,231439,234639,570,49
329,4870020375421139451,154054,155354,351,41
330,-6055338289877033406,183760,186260,531,10
331,-7413628197001761530,147554,148754,453,19
332,-2176664945230567260,323613,338613,742,30
333,8250015194472102141,202814,205314,479,32
334,4006619626148613194,199107,201907,491,17
335,-7474454720590020054,256273,258673,524,27
336,-4481000923260946295,144791,146891,529,43
337,-4293055035201894298,299721,304621,592,43
338,-4271099438365810427,174405,176405,549,35
339,-8448988289284612634,230185,232485,530,7
340,8587873783162784226,207373,208773,475,19
341,-1582571907206479973,424574,434574,968,56
342,8437138325620354093,390395,397695,845,57
343,-77652949055382273,177998,180698,464,13
344,-7516763541848906714,193992,197292,442,44
345,4604402547140285149,310991,316491,673,66
346,-7081785649890661198,144280,145280,445,58
347,-8365617307358851400,206069,211069,552,43
348,2300700668178633024,108221,110121,425,13
349,-8803658471091230923,331657,337157,801,49
350,-5044395764170504228,220553,223153,527,57
351,-466089849551711314,264053,269353,569,31
352,1235476685272484445,289533,294333,689,57
353,397792341524452183,137082,138782,321,11
354,-4584791134669946970,219531,223231,559,32
355,-7304781882372525245,220928,224728,506,44
356,-486513488405044188,214427,227427,574,30
357,-2462985981100824764,184221,186121,439,24
358,-743534768873610520,267885,271785,749,75
359,-5341824651613420831,291867,304767,623,43
360,5583960389185735137,185664,188864,397,30
361,-1717693433143146114,148821,150821,435,22
362,8238013658036526245,258182,262082,592,46
363,-272029763800809378,386736,396136,858,10
364,-236185992118148838,317910,326910,740,32
365,-1586560131802573187,173994,175794,419,35
366,-5255738765914181221,225600,229800,568,36
367,110034301769610495,218324,221824,475,43
368,-802606208520587798,269176,273976,601,50
369,-2780748163539955821,374058,391858,924,26
370,-6218241598618345464,225392,229392,568,25
371,4581756585625775784,276296,281196,701,30
372,779041838759669365,277241,283041,764,31
373,5467369920519169525,147388,149088,340,18
374,-4847280206347135268,196340,202840,586,14
375,-716045117797809871,257158,263358,643,16
376,-8611253615333919674,183619,195819,474,69
377,2270198004356301571,168985,170485,409,18
378,5984988881366373162,184647,186447,430,17
379,8777398446982193615,224222,227522,536,50
380,8598374698293722394,196768,209768,441,40
381,-2356195131749568253,151663,155863,400,32
382,9220378829111805264,236171,239171,532,64
383,-2478299851373522899,194803,196803,415,21
384,3787876821579963151,198060,200860,484,32
385,502438636973716882,229650,234550,553,36
386,7286129269615175747,287358,292058,663,35
387,-4380758470033163025,283731,287031,625,43
388,-4952053520656245231,207971,210471,429,21
389,636393598862728218,205003,207903,505,33
390,8561441651194263205,208369,211169,468,28
391,-3956671098022714051,164898,166398,415,34
392,5710455083253751101,231315,233915,533,9
393,-3682927140480692011,184798,187298,429,26
394,-5623087503596742554,304248,309248,780,26
395,3379977486592427495,260157,265457,734,48
396,-6955742773560504603,182191,184191,419,12
397,-2264666020741443318,239412,243212,584,13
398,1818418092751547755,179067,182467,439,34
399,-9170527222779395133,165470,167270,437,51
400,6155886671942994271,206768,209468,446,22
401,8477936017395693121,147832,149432,469,36
402,7456741912570793192,236590,238890,489,20
403,7056155960668598018,294529,299629,645,49
404,-60365700275116461,241846,244946,575,1
405,-3869750850567161277,155216,162116,401,51
406,3418566383224933848,168357,175357,439,47
407,5049626323994599427,247579,251179,583,37
408,6606539819075557062,211127,214427,538,42
409,-6935149824850964163,227633,230033,547,39
410,7631618547714207539,350632,357032,781,40
411,-6164046546522255336,174747,180347,554,44
412,9118023923997086470,192633,195333,452,44
413,-2491783896697021655,192548,196448,643,41
414,767350405489498727,240427,244027,586,41
415,8688268297601721288,214620,218120,515,60
416,-2299972297151685417,222796,226196,480,5
417,6866551665087905921,242799,246599,608,19
418,-5251689848393177951,204215,208515,499,47
419,-6326208633314603108,314465,320265,701,46
420,-6818006813372293130,180382,182682,490,31
421,1247060668246405584,239806,243306,562,7
422,-4228137451673659609,255453,260853,631,50
423,-710732834754552477,260643,266543,644,19
424,3449067884195720343,230933,234633,576,18
425,-8882729220790201284,225876,229376,550,44
426,3734230665257509695,173879,176679,435,35
427,-2447112213689774916,193466,196666,535,51
428,1970061870165226627,228671,232771,525,34
429,2958093956623994107,172741,175441,433,40
430,7585829747612045430,238300,242200,583,57
431,-5293647718492440466,246713,251113,604,18
432,1913827480679891155,269528,273828,725,33
433,-673691612753771220,276529,281029,649,21
434,-6672385842410106281,306237,332537,730,19
435,9192289658619063368,278193,291793,556,23
436,-4872988798471243047,180969,182369,480,30
437,4866214742316550746,231062,243562,478,51
438,-7121486830158985227,175964,177164,419,33
439,-1572082345225200124,262112,265712,626,41
440,2809151579662337177,206188,209988,534,30
441,198288676152062956,241265,244965,559,31
442,8561259492692374214,289006,296706,643,32
443,8181146761213915842,261999,265399,584,28
444,-9042047459360589023,243816,246816,521,22
445,-7354337050574746190,223072,227772,623,33
446,3794064388519368254,253217,258117,661,49
447,-6492848905888447538,217355,221055,595,42
448,-6950498930819311413,290033,294033,617,48
449,-4411068420080163642,174658,176058,500,33
450,4619149715806695700,319714,326014,767,29
451,-5151786115015393786,255902,270602,610,42
452,8802562916618715982,112502,114902,438,32
453,-583414853302687382,272821,276521,616,17
454,-4041647005599669609,250576,252976,493,24
455,6838305476477327409,228729,232329,544,21
456,-6551318301989295827,210561,224761,504,74
457,4052661401146233386,175441,178141,391,37
458,-1371666278129680985,200399,211999,390,7
459,3925054497749321482,216872,219772,452,60
460,5398268649527118055,183574,186174,588,20
461,-7354694461543874332,250542,253842,593,59
462,-8591371452984638474,271960,277460,713,25
463,8243724955398364562,223959,227559,733,38
464,-7671822476484553228,230078,233378,530,14
465,-4320867591495479393,195303,198503,434,30
466,764584904107702594,246489,249789,559,41
467,7313690415567933383,258172,262372,595,45
468,3633981193640648562,234314,237614,517,15
469,-2122671987525688608,173894,176194,418,20
470,-2477268004078652984,179548,181948,458,14
471,5696237463753612616,244823,247923,545,18
472,-447170720084944497,92662,93362,310,35
473,-5095724202038003936,173095,176195,429,18
474,3027391631672079411,189169,191269,479,45
475,-5511973295410518948,262411,264511,607,89
476,7113707522805059677,229554,232054,505,43
477,3815733870379705971,342016,367816,734,32
478,387545526616195670,274037,288737,643,34
479,9000207817443291097,196883,198483,443,24
480,-2211732602537265459,300184,308384,730,21
481,-4503536747029416634,224657,228157,687,27
482,-3549148911716523822,217415,219715,463,62
483,-7437499005870471734,214147,226847,507,21
484,-4555514980055527029,293301,297701,654,10
485,1413618537625641991,218347,220047,554,37
486,-3263310319268296581,313418,359318,694,53
487,468160372259714572,200563,203663,461,21
488,-1631737221429331554,142212,144412,310,37
489,-18999956329238835,180967,183167,507,25
490,2224391147686218008,234662,237562,538,47
491,-5600352540835546256,282832,287232,604,61
492,127649274285756575,118525,120325,408,25
493,974346715961728277,212638,216238,481,46
494,8007792041570197909,170246,177246,564,32
495,-5005908839273588350,194383,197383,542,19
496,2608104924968462404,258120,261620,548,42
497,5801362643379677696,159165,161665,374,38
498,2559582749794458534,184931,187031,448,60
499,-7616026354201571692,202612,206012,678,41
500,-4673309370917796735,274191,278691,614,55
501,-9085860070165468315,303230,308630,735,49
502,4001834601454525972,221710,224210,468,26
503,-2933614115406133508,184305,186105,400,59
504,1008218787806410075,266727,270327,555,38
505,-8017546631810844788,215349,217449,494,31
506,2263357701865458503,276526,291626,710,64
507,-7633000064650861774,165932,167732,460,59
508,1903694537773237028,167035,171135,457,7
509,137966244716948903,233458,236858,552,8
510,1215600585033686323,225083,228583,442,24
511,-2397574253518979024,221627,226127,587,48
512,1748225733458308353,228261,232761,672,31
513,5398051884592484558,137787,139287,415,33
514,-7481374672132547440,155607,158407,347,53
515,-1159176223843619289,279181,282881,608,45
516,4812005082026087596,265185,271085,680,46
517,356667854728266952,182874,187674,548,50
518,-4751163043688002459,195936,199936,452,37
519,-7268193223403254166,270695,273595,587,24
520,8226783244592779171,160272,163372,411,14
521,-2542004929154397472,276921,282021,626,29
522,7799344630415124346,207551,220051,493,34
523,-288035543697021390,205184,207384,402,38
524,-1588889096743759391,195206,199906,497,18
525,7383334336873872165,201171,204071,450,17
526,-699126802042520759,150176,152776,432,33
527,-8203979631780636258,111604,112704,363,40
528,-2004162344277257047,195501,197901,554,29
529,-4255909027429838757,245383,249183,650,27
530,6560356215363702483,241991,245891,551,40
531,6510793487024295338,204043,206543,478,50
532,711493522689825085,179642,181942,443,49
533,5467757811126178815,200540,203640,449,18
534,1462359252020006938,204528,207828,435,9
535,9035178755799400913,224628,228528,527,25
536,-1546505427546558290,279355,285155,664,43
537,-7635100663712487904,154538,162138,552,17
538,1317575883152984834,251698,256298,602,24
539,-6267489132480455138,202949,204849,464,37
540,2208344785964556165,226052,230252,573,42
541,-2716547795134617098,263037,270337,662,60
542,-2305430306779623901,260566,266266,648,37
543,-7924102118990465724,208821,211321,441,32
544,-7676940025345325776,127614,129814,329,39
545,7160665285853187764,225908,239008,514,25
546,-337509292241491580,294383,300083,650,25
547,-3520501736427465766,188199,191299,537,29
548,1270897109016716044,290045,313745,634,35
549,-3686233301186146228,337197,361597,776,22
550,-4196860788162579213,286749,291649,630,40
551,-1685372205911025926,228311,232011,557,25
552,-7813800046436766198,215716,219116,564,47
553,-923436768276287668,149495,154095,514,17
554,-726926166959185149,205941,208441,467,47
555,-1503091676449050578,178533,181033,457,40
556,-8074644116018799359,260519,263519,541,31
557,-7998349981357976170,205906,209006,422,48
558,5326987746135119760,317320,323520,863,37
559,5892607471856370331,182534,185734,452,25
560,-1657431401691902924,212221,215921,535,26
561,-2140341188844227545,177167,179767,422,39
562,-3673474900923902197,52180,52180,105,28
563,8359272836971342588,254595,267995,537,13
564,-8122764116575497806,221263,223963,477,39
565,1043199931809677233,151376,154576,429,18
566,3314711151236191254,206365,209065,452,31
567,3690265431658885889,184960,187760,500,30
568,639266241019557773,255871,269671,673,18
569,-8569455282437883514,269589,273889,599,25
570,3541073365820127762,191539,194339,499,49
571,-5889265990422054672,183707,187007,423,41
572,-4285316668355288221,237857,240757,526,28
573,6531836029688226878,160666,163866,409,26
574,2393161021850797777,156740,158440,330,38
575,8654849684826840862,256953,259453,621,53
576,-4571012569369799830,246195,258595,553,35
577,8885162179229113783,232261,275461,530,53
578,-5859010817012720323,159199,160499,346,58
579,5552698132908153137,127281,129381,367,17
580,4945517376668363756,246602,251002,512,35
581,-1008404990835634401,206294,220394,474,12
582,-2537937619473366631,237261,241861,666,3
583,6881276284414773685,251746,255146,589,34
584,-6295746519905772452,188032,190632,460,22
585,7934744552691160420,199522,202222,550,28
586,3832853459937481677,264027,267127,592,49
587,-4108925598728813471,147574,150474,472,20
588,6204889000287088428,222362,225262,454,47
589,-556578883118587606,235250,239050,739,43
590,-7371808726477456426,254639,260639,701,18
591,-4788512411646948209,260009,272909,539,31
592,5996812906695407092,167556,179956,459,24
593,-1435964754891497815,267315,270815,562,49
594,3141831323780127875,235150,240050,623,45
595,-4304465754426199911,258679,261979,570,22
596,4330327090820668138,187618,189218,419,60
597,-3109294731848846971,218768,222768,439,20
598,4675620872561633668,223423,227223,487,32
599,7421043957800029251,237785,241285,653,21
600,-7003862438358818412,189671,193171,455,25
601,3358821280072637626,198399,210899,412,28
602,-7944638778354235312,280420,284920,530,42
603,-486277801658565405,297081,319581,577,26
604,7674025184061889736,133657,134957,341,20
605,609020901254044228,245145,248045,588,63
606,-1245469488693789749,267576,272976,656,27
607,-6836085078020828721,213713,216413,444,14
608,-4291912730910646882,192249,194649,433,40
609,-4422869049821973346,201602,205602,549,51
610,9133211364204196534,274639,278239,607,26
611,4999232378770641654,246285,249285,577,46
612,-540208617330122895,235784,239184,530,42
613,-6629736519393035517,260459,264459,611,18
614,8366242203466760476,248862,253062,604,10
615,8924263473046333647,281878,287378,595,42
616,-4820166646493145643,165349,168449,419,53
617,-6484683177985937389,128234,129134,259,23
618,-5729010210509917689,203220,207020,498,28
619,-7475190311912305241,192601,194401,466,19
620,-6506420528417253853,246901,251001,701,44
621,-6224914639970043533,235783,260283,545,16
622,2512236644208097142,270912,275112,582,37
623,-5409934528853620340,285743,289743,695,39
624,-2962661190264964637,195474,199374,534,25
625,-192525222497942184,194565,196765,456,24
626,7204405115293309379,228675,231175,489,29
627,3536179015462432218,150260,153260,538,32
628,-3260400320633666251,194507,200507,549,49
629,2787399634534117882,288783,293383,665,33
630,-415907891738205602,292599,298699,713,36
631,-1033498668278699857,347703,356603,844,26
632,296144390276503424,241748,246648,565,45
633,7947511626846780681,234832,238832,551,44
634,6777858120705187252,202060,203860,544,40
635,-527926623720560433,285024,290424,730,44
636,6768231826679131339,180094,183894,433,36
637,-8175420023803257054,136426,138126,430,18
638,-5460520602769133115,166140,168440,436,16
639,-8601995849335319445,243313,256613,560,19
640,-5101665156988575849,200568,203768,441,18
641,-2694510686250728263,236575,241275,568,37
642,-8274104938401288924,292306,298306,636,55
643,1855420444111340406,211468,214268,535,59
644,-5391812756222667312,209925,213525,458,31
645,3948713828979093965,225637,231537,591,25
646,1735313345493885944,307170,313070,707,53
647,1071013493903703943,282472,288972,601,53
648,7791466174221728923,138935,143835,551,23
649,-7879995596532786695,273474,279174,607,46
650,1843276038298041546,307738,331938,728,13
651,3730604565595583351,194448,197048,451,20
652,3258443988651270945,273325,277425,628,27
653,5283394623641144668,199535,203635,459,40
654,3018859950343686879,254807,259507,604,18
655,-2957076505394949131,246985,250085,504,75
656,-5902142228716918142,198200,201900,576,57
657,3143268739616393057,197663,199763,412,54
658,2124450596545576723,208310,211210,480,28
659,-7150026396841679340,261173,266873,646,19
660,6456413328786055718,220615,226915,507,28
661,-2613424508013521878,182641,185241,523,66
662,7582853345632952007,210299,212999,470,41
663,1339966297189670341,252856,258156,600,46
664,-5899673889266741347,213257,216057,558,49
665,-4857607300723661507,230077,243377,553,12
666,-2419254855649401096,247473,250973,579,39
667,7836201294136227631,212590,215690,420,38
668,5267398636424743245,328813,333313,715,26
669,-6650531916754134506,177656,180856,395,2
670,615733624724129224,193104,195604,431,26
671,2239861917256540750,197151,198851,432,40
672,6440285732594040927,180612,184112,432,38
673,-1548843957536337818,221309,225109,547,8
674,-1222026659615105967,188664,191264,670,35
675,-5194100488673117431,280285,285185,663,41
676,7416753304735527242,176005,179905,502,48
677,-6184105744052394548,267230,280630,472,28
678,-4157802869907139297,167562,170962,457,40
679,3359993207473975650,266236,270736,558,37
680,4228510975691034146,282016,297416,620,37
681,7341630823842643677,190433,193833,515,49
682,-8076549297981692826,313763,319863,746,59
683,1622129667443913448,200287,202587,490,34
