Item,Value,Limit,Notes
Rare Treasure,17.41,,was 100; 28515 seen in 5000 seeds; rate smoothed with k=200
Nickel Ingot,14.03,,was 50; 17616 seen in 5000 seeds; rate smoothed with k=200
Crowbar,13.13,,was 50; 18841 seen in 5000 seeds; rate smoothed with k=200
Electrical Steel Ingot,12.91,,was 10; 3673 seen in 5000 seeds; rate smoothed with k=200
Deluxe Cheeseburger,11.04,,was 5; 2064 seen in 5000 seeds; rate smoothed with k=200
Bucket,10.79,,was 100; 46148 seen in 5000 seeds; rate smoothed with k=200
Magnetic Iron Ingot,8.872,,was 20; 11071 seen in 5000 seeds; rate smoothed with k=200
Obsidian Tough Binding,6.6,,was 15; 11164 seen in 5000 seeds; rate smoothed with k=200
Neodymium Dust,3.726,,was 10; 13220 seen in 5000 seeds; rate smoothed with k=200
LootBag (dreamcraft.lootbag.group.fast_food),2.673,,was 20; 37209 seen in 5000 seeds; rate smoothed with k=200
Manganese Ingot,2.513,,was 10; 19693 seen in 5000 seeds; rate smoothed with k=200
Potion of Swiftness,2.257,10,was 100; 221336 seen in 5000 seeds; rate smoothed with k=200
Uncommon Treasure,2.067,,was 50; 120768 seen in 5000 seeds; rate smoothed with k=200
Vanadiumsteel Ingot,1.525,,was 100; 327752 seen in 5000 seeds; rate smoothed with k=200
Damascus Steel Ingot,1.51,,was 100; 331003 seen in 5000 seeds; rate smoothed with k=200
Steel Ingot,1.298,,was 100; 385031 seen in 5000 seeds; rate smoothed with k=200
Obsidian Binding,1.097,,was 5; 22599 seen in 5000 seeds; rate smoothed with k=200
Flint and Steel,1.072,,was 5; 23120 seen in 5000 seeds; rate smoothed with k=200
Exquisite Sapphire,1.049,,was 10; 47480 seen in 5000 seeds; rate smoothed with k=200
Common Treasure,0.9729,,was 5; 25497 seen in 5000 seeds; rate smoothed with k=200
Coal Coke,0.8647,,was 5; 28712 seen in 5000 seeds; rate smoothed with k=200
Red Alloy Ingot,0.8542,,was 100; 585176 seen in 5000 seeds; rate smoothed with k=200
Zinc Ingot,0.8395,,was 20; 118917 seen in 5000 seeds; rate smoothed with k=200
Diamond,0.8142,,was 100; 613916 seen in 5000 seeds; rate smoothed with k=200
Firestone Dust,0.7752,,was 10; 64303 seen in 5000 seeds; rate smoothed with k=200
Cast Iron Ingot,0.6362,,was 50; 392729 seen in 5000 seeds; rate smoothed with k=200
Exquisite Emerald,0.504,,was 10; 99010 seen in 5000 seeds; rate smoothed with k=200
Name Tag,0.4546,,was 5; 54797 seen in 5000 seeds; rate smoothed with k=200
Lead Ingot,0.3596,,was 20; 277907 seen in 5000 seeds; rate smoothed with k=200
Ender Pearl,0.3484,,was 50; 717425 seen in 5000 seeds; rate smoothed with k=200
Copper Ingot,0.316,,was 20; 316305 seen in 5000 seeds; rate smoothed with k=200
Tumbaga Ingot,0.2532,,was 50; 987306 seen in 5000 seeds; rate smoothed with k=200
Forester's Backpack,0.2407,,was 1; 20570 seen in 5000 seeds; rate smoothed with k=200
Tin Ingot,0.1701,,was 20; 587789 seen in 5000 seeds; rate smoothed with k=200
Ghast Tear,0.1462,,was 10; 341713 seen in 5000 seeds; rate smoothed with k=200
Treetap,0.1435,,was 1; 34642 seen in 5000 seeds; rate smoothed with k=200
Leather,0.1172,,was 5; 213064 seen in 5000 seeds; rate smoothed with k=200
Ancient Debris,0.1168,,was 1; 42616 seen in 5000 seeds; rate smoothed with k=200
Iron Ingot,0.1162,,was 20; 860552 seen in 5000 seeds; rate smoothed with k=200
Potion of Invisibility,0.06951,,was 1; 71729 seen in 5000 seeds; rate smoothed with k=200
Bronze Ingot,0.03226,,was 30; 4649516 seen in 5000 seeds; rate smoothed with k=200
Gold Ingot,0.02963,,was 20; 3374406 seen in 5000 seeds; rate smoothed with k=200
Silver Ingot,0.0289,,was 20; 3459750 seen in 5000 seeds; rate smoothed with k=200
Splash Potion of Night Vision,0.02049,,was 1; 243779 seen in 5000 seeds; rate smoothed with k=200
Splash Potion of Regeneration,0.02044,,was 1; 244409 seen in 5000 seeds; rate smoothed with k=200
Coal,0.004713,,was 5; 5304578 seen in 5000 seeds; rate smoothed with k=200
Lapis Lazuli,0.003248,,was 5; 7697820 seen in 5000 seeds; rate smoothed with k=200
Clay,0.002116,,was 5; 11813378 seen in 5000 seeds; rate smoothed with k=200
Redstone,0.001562,,was 5; 16002069 seen in 5000 seeds; rate smoothed with k=200
